id,symbol,name,current_price,market_cap,total_volume
bitcoin,btc,Bitcoin,95468.0,1892472750314,33460594224
ethereum,eth,Ethereum,2586.57,311830187471,19895732863
tether,usdt,Tether,0.999748,141917447689,41741239999
ripple,xrp,XRP,2.39,138044123731,4650508882
solana,sol,Solana,194.5,94867304066,4289016987
binancecoin,bnb,BNB,633.02,92350113409,1481294902
usd-coin,usdc,USDC,0.9999,56051100508,5164970688
dogecoin,doge,Dogecoin,0.250954,37120709882,1618241407
cardano,ada,Cardano,0.760115,27296169976,1684784879
staked-ether,steth,Lido Staked Ether,2584.48,24314741800,96363796
tron,trx,TRON,0.239754,20643706640,677272592
wrapped-bitcoin,wbtc,Wrapped Bitcoin,95256.0,12313238484,352682715
chainlink,link,Chainlink,18.52,11819531723,593803175
wrapped-steth,wsteth,Wrapped stETH,3085.36,10375715676,69401971
avalanche-2,avax,Avalanche,25.12,10341125948,363108590
sui,sui,Sui,3.27,10099564972,1445308691
stellar,xlm,Stellar,0.313715,9597366255,397005471
the-open-network,ton,Toncoin,3.71,9249479472,152965506
shiba-inu,shib,Shiba Inu,1.556e-05,9171197342,264301411
leo-token,leo,LEO Token,9.8,9049225942,515592
litecoin,ltc,Litecoin,116.93,8829822470,1837751190
hedera-hashgraph,hbar,Hedera,0.224418,8578103206,303855546
usds,usds,USDS,0.999088,8436099155,8793472
hyperliquid,hype,Hyperliquid,23.22,7756121649,123308286
weth,weth,WETH,2584.29,7642344508,883283474
bitget-token,bgb,Bitget Token,6.26,7492509572,242476506
polkadot,dot,Polkadot,4.82,7324685064,277841391
bitcoin-cash,bch,Bitcoin Cash,328.61,6515161877,154042925
ethena-usde,usde,Ethena USDe,0.99962,6006698400,138025920
uniswap,uni,Uniswap,9.31,5586247134,324186753
mantra-dao,om,MANTRA,5.64,5485310056,229872512
wrapped-eeth,weeth,Wrapped eETH,2736.66,5218528875,9405898
ondo-finance,ondo,Ondo,1.33,4189480704,441042729
monero,xmr,Monero,222.61,4106251032,60561700
whitebit,wbt,WhiteBIT Coin,27.31,3936705335,21173848
pepe,pepe,Pepe,9.35e-06,3935403095,960416887
near,near,NEAR Protocol,3.2,3779809210,206161853
aave,aave,Aave,241.06,3629180059,339066306
dai,dai,Dai,0.999574,3487365526,204402597
mantle,mnt,Mantle,1.016,3415656430,121589909
internet-computer,icp,Internet Computer,7.05,3388664306,94754927
aptos,apt,Aptos,5.87,3372752476,267563795
bittensor,tao,Bittensor,401.61,3299280873,254575929
susds,susds,sUSDS,1.035,3252918116,356646
ethereum-classic,etc,Ethereum Classic,20.15,3037887518,107746601
official-trump,trump,Official Trump,15.16,3027746568,798647364
okb,okb,OKB,50.04,2996714379,13677393
gatechain-token,gt,Gate,22.1,2782634272,16770920
vechain,vet,VeChain,0.03295115,2668516846,54648616
polygon-ecosystem-token,pol,POL (ex-MATIC),0.307248,2626757711,93725644
crypto-com-chain,cro,Cronos,0.091727,2500038766,21784156
kaspa,kas,Kaspa,0.09504,2440904355,116983524
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,95347.0,2430570776,311885840
algorand,algo,Algorand,0.283436,2384237727,131462795
render-token,render,Render,4.38,2266487584,106133818
tokenize-xchange,tkx,Tokenize Xchange,28.02,2240077434,17844255
jupiter-exchange-solana,jup,Jupiter,0.806583,2126355453,244445173
filecoin,fil,Filecoin,3.3,2074373405,138544234
first-digital-usd,fdusd,First Digital USD,0.994985,2034665799,5668051332
cosmos,atom,Cosmos Hub,4.66,2028658292,122318305
arbitrum,arb,Arbitrum,0.462681,2009427873,190566561
fetch-ai,fet,Artificial Superintelligence Alliance,0.749266,1949076267,170591930
lombard-staked-btc,lbtc,Lombard Staked BTC,94877.0,1845276543,1699568
fasttoken,ftn,Fasttoken,3.94,1690176284,50333549
celestia,tia,Celestia,3.17,1657080487,99279887
binance-peg-weth,weth,Binance-Peg WETH,2588.92,1566511726,59812530
binance-staked-sol,bnsol,Binance Staked SOL,201.76,1549521664,7884282
raydium,ray,Raydium,5.17,1504371123,171048806
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,2679.13,1496395350,1759844
kucoin-shares,kcs,KuCoin,12.1,1483318099,65971
sonic-3,s,Sonic (prev. FTM),0.462177,1466979305,106111817
solv-btc,solvbtc,Solv Protocol SolvBTC,95204.0,1436894943,4813886
optimism,op,Optimism,1.062,1435803395,165716150
xdce-crowd-sale,xdc,XDC Network,0.090149,1414484012,85572933
blockstack,stx,Stacks,0.918183,1388974097,42180987
lido-dao,ldo,Lido DAO,1.55,1383992470,161109867
injective-protocol,inj,Injective,14.15,1379989539,117374658
immutable-x,imx,Immutable,0.772729,1347874223,45367815
ethena,ena,Ethena,0.428791,1343181648,270798012
bonk,bonk,Bonk,1.733e-05,1337613898,146668117
theta-token,theta,Theta Network,1.33,1334256309,23058846
nexo,nexo,NEXO,1.3,1303781174,9847363
the-graph,grt,The Graph,0.136758,1303223029,59017266
rocket-pool-eth,reth,Rocket Pool ETH,2901.91,1298008414,6293949
quant-network,qnt,Quant,88.88,1290384337,37952152
movement,move,Movement,0.531007,1274691287,95581526
mantle-staked-ether,meth,Mantle Staked Ether,2734.63,1242600494,7130613
worldcoin-wld,wld,Worldcoin,1.23,1231601187,216938203
flare-networks,flr,Flare,0.02031961,1195629524,9554971
usual-usd,usd0,Usual USD,0.99616,1160634008,12587752
dexe,dexe,DeXe,18.91,1078880951,15960443
jasmycoin,jasmy,JasmyCoin,0.02164238,1045580026,75055295
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,94621.0,1006214611,2339007
sei-network,sei,Sei,0.225662,1000360189,69475733
gala,gala,GALA,0.02262935,969129698,126976372
msol,msol,Marinade Staked SOL,245.84,962476967,19459173
eos,eos,EOS,0.620796,941604214,115134577
the-sandbox,sand,The Sandbox,0.381726,933774488,93357373
tezos,xtz,Tezos,0.855581,880928722,35254357
floki,floki,FLOKI,9.026e-05,872879976,149327450
